epoch,accuracy,loss,val_accuracy,val_loss
0,0.7124999761581421,0.5776114463806152,0.778333306312561,0.4282393753528595
1,0.8299999833106995,0.3971019387245178,0.8983333110809326,0.29253625869750977
2,0.9208333492279053,0.20589248836040497,0.9266666769981384,0.20200115442276
3,0.9383333325386047,0.16475525498390198,0.9466666579246521,0.18545086681842804
4,0.9620833396911621,0.1036415696144104,0.9750000238418579,0.13312511146068573
5,0.9670833349227905,0.08899270743131638,0.971666693687439,0.14123833179473877
6,0.9762499928474426,0.07129411399364471,0.9700000286102295,0.05275275111198425
7,0.9870833158493042,0.032612401992082596,0.9800000190734863,0.04828280210495
8,0.9866666793823242,0.03286993131041527,0.9733333587646484,0.023203958570957184
9,0.9883333444595337,0.0280388742685318,0.9816666841506958,0.03121670722961426
10,0.9937499761581421,0.01274904515594244,0.9883333444595337,0.020889689981937408
11,0.9958333373069763,0.009393981657922268,0.9833333492279053,0.015284411907196
12,0.9891666769981384,0.024085858836770058,0.9833333492279053,0.0372357577085495
