epoch,Dice_Coefficient,binary_accuracy,loss,val_Dice_Coefficient,val_binary_accuracy,val_loss
0,0.21659578382968903,0.8586267232894897,0.7840608358383179,0.06093093752861023,0.0283119585365057,0.9399223923683167
1,0.3052399158477783,0.9338238835334778,0.6957502961158752,0.06093268468976021,0.02834230475127697,0.9399205446243286
2,0.37925371527671814,0.9549346566200256,0.621398389339447,0.06954709440469742,0.15698088705539703,0.9315005540847778
3,0.38500112295150757,0.9510276317596436,0.6152809858322144,0.0703732967376709,0.158074751496315,0.9309678077697754
4,0.4316622018814087,0.9593172669410706,0.5684648752212524,0.13078279793262482,0.5571430325508118,0.8769640922546387
5,0.4446249306201935,0.9607744216918945,0.5561488270759583,0.23872840404510498,0.7671189308166504,0.76654052734375
6,0.4731745719909668,0.9622390270233154,0.5262486338615417,0.3159389793872833,0.862343966960907,0.7005413770675659
7,0.46148350834846497,0.9617500305175781,0.5373589396476746,0.37478747963905334,0.9281782507896423,0.6219952702522278
8,0.4792635142803192,0.9627047777175903,0.5215222239494324,0.33074840903282166,0.8837782144546509,0.6753994226455688
9,0.5089263916015625,0.9656155705451965,0.49075010418891907,0.33643004298210144,0.8853859305381775,0.6787450313568115
10,0.5076375603675842,0.9652131795883179,0.49271896481513977,0.2953028380870819,0.8566792011260986,0.7093127965927124
11,0.5066931843757629,0.9644522070884705,0.4940156638622284,0.39676806330680847,0.9229558110237122,0.611598789691925
12,0.5341039299964905,0.9669328331947327,0.4646570682525635,0.476733535528183,0.968339204788208,0.5290593504905701
13,0.5466268062591553,0.968380868434906,0.4537822902202606,0.4243849515914917,0.9244949817657471,0.5723777413368225
14,0.5524572730064392,0.9699066877365112,0.447319358587265,0.5209017992019653,0.9742564558982849,0.4954867362976074
15,0.5634464025497437,0.9701318144798279,0.4364947974681854,0.5058507919311523,0.9738779664039612,0.5059996247291565
16,0.5714018940925598,0.9712277054786682,0.42723628878593445,0.29360607266426086,0.8521226644515991,0.7045013308525085
17,0.5686649084091187,0.9704466462135315,0.42989349365234375,0.5053679347038269,0.9770449995994568,0.50798499584198
18,0.5817651748657227,0.9717747569084167,0.4182404577732086,0.32079172134399414,0.9531201124191284,0.6787895560264587
19,0.6005871891975403,0.9718384146690369,0.40001943707466125,0.4085003137588501,0.9712873101234436,0.6017187237739563
20,0.6068556308746338,0.9727069735527039,0.3938089609146118,0.5161203742027283,0.9756229519844055,0.4938453435897827
21,0.6125539541244507,0.9736906290054321,0.38749033212661743,0.3308996856212616,0.9738394618034363,0.6868693828582764
22,0.6192789077758789,0.9741323590278625,0.38112929463386536,0.4288085401058197,0.945378839969635,0.5857937932014465
23,0.6312531232833862,0.9740406274795532,0.36953455209732056,0.4721219837665558,0.9654061198234558,0.5337537527084351
24,0.6361925005912781,0.9749646782875061,0.36327213048934937,0.510704517364502,0.9772846102714539,0.49663254618644714
25,0.6301730871200562,0.974599301815033,0.36998510360717773,0.40791037678718567,0.9186956286430359,0.6006127595901489
26,0.6417999863624573,0.9750769138336182,0.3586346507072449,0.6142995357513428,0.9709631204605103,0.3891605734825134
27,0.6523666977882385,0.9754602313041687,0.3475094437599182,0.6520346403121948,0.9755522608757019,0.3590867519378662
28,0.6575071811676025,0.9762882590293884,0.3418830633163452,0.5775495767593384,0.9779869318008423,0.4227224290370941
